Countries,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
England,0.72342717,0.9303726,0.77587642,0.94809869,0.69946284,0.92438448,0.66756946,0.84267786,0.78459725,0.84991881,0.8651396,0.70623634,0.67736816,0.7062366,0.86560729,0.96744574,0.91427276,0.8411824,0.73649287,0.51709162,0.84959889,0.66260926,0.79960925,0.78894463,0.75783153,0.90557821,0.82561836,0.6947509,0.91729454,0.83011308,0.83720697,0.75440929,0.55705199, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/england.jpg
Belgium,0.00246116,0.00019573,0.00148737,0.00030963,0.00075399,0.00067302,0.00178649,0.00050523,0.00113082,0.00047734,0.00073956,0.00203565,0.00201025,0.00108048,0.0006773,0.00020985,0.00060126,0.00076006,0.00138925,0.00322103,0.00088968,0.00093662,0.00054881,0.00103801,0.00033989,0.00048332,0.00161506,0.00085588,0.0004126,0.0011817,0.00050227,0.00127065,0.00228148, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/belgium.jpg
France,0.00769112,0.00111566,0.00492461,0.0009821,0.00649996,0.00272086,0.01056435,0.00284277,0.00855124,0.00210542,0.00321327,0.00501383,0.01722599,0.00598924,0.00439596,0.00070882,0.00251002,0.00600979,0.00692088,0.02970784,0.00575276,0.00770793,0.00506224,0.00573886,0.00368209,0.00263254,0.00740128,0.00638913,0.00210486,0.00577948,0.00396527,0.00924917,0.01742766, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/france.jpg
Germany,0.01384402,0.00197686,0.00988993,0.00263667,0.00681715,0.00426125,0.01341586,0.0038566,0.00612306,0.00324336,0.0047281,0.00711083,0.00931724,0.00751397,0.00606317,0.00207049,0.00493415,0.00595676,0.00897621,0.01382962,0.00903251,0.00660241,0.00477246,0.006234,0.00269334,0.0035529,0.01265976,0.00584565,0.00366557,0.00682536,0.0038754,0.00819804,0.01279302
Greece,0.00876788,0.00125267,0.00321154,0.0003193,0.00177319,0.00057225,0.0048785,0.00054565,0.00237121,0.00355023,0.00125471,0.00120466,0.00232104,0.00446451,0.00099642,0.00020518,0.0014268,0.00090736,0.00320987,0.00511204,0.0031742,0.00119765,0.00108006,0.00083518,0.00055618,0.00099234,0.00113817,0.00241786,0.00046044,0.00184726,0.0009781,0.00118622,0.0103682, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/germany.jpg
Italy,0.00876788,0.00126572,0.00889094,0.00156265,0.00938074,0.00275685,0.01149195,0.0035063,0.00638604,0.01052282,0.00230029,0.00478517,0.00948917,0.01028372,0.0035819,0.00107255,0.00277248,0.00486086,0.01134871,0.02027798,0.00467459,0.00826836,0.00486466,0.00520196,0.00295082,0.00301302,0.00506772,0.00516523,0.003833,0.0049781,0.00435123,0.00713001,0.01528354
Netherlands,0.00399938,0.00028055,0.00155027,0.00041122,0.00114399,0.00102212,0.00295458,0.00076795,0.00168746,0.00071175,0.0011374,0.00116562,0.0025062,0.00152473,0.00092478,0.00038705,0.00093529,0.00158494,0.00169374,0.00441867,0.00143254,0.00123987,0.00099664,0.0018016,0.00072097,0.00060672,0.00268328,0.00129238,0.00081922,0.00164352,0.00079834,0.00184055,0.00335055, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/italy.jpg
Portugual,0.00307645,0.00103084,0.00294145,0.00061442,0.00922994,0.00055425,0.00511898,0.00138096,0.00401922,0.00162381,0.00132611,0.00284991,0.00583237,0.00448096,0.00174536,0.00034508,0.00215213,0.00394761,0.0037681,0.00751363,0.00225436,0.01502816,0.00153228,0.00229674,0.00436701,0.00098206,0.00140523,0.00375731,0.00114811,0.00150769,0.00229457,0.00357978,0.0096097, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/portugal.jpg
Spain,0.00492232,0.00065243,0.00326334,0.00082729,0.00640116,0.00132084,0.00670507,0.00216239,0.00413317,0.00187953,0.00137712,0.00379244,0.00755827,0.00439869,0.00255943,0.00069016,0.00201851,0.00374728,0.00592493,0.01331905,0.00315912,0.00488271,0.00233574,0.00320947,0.00182817,0.00135226,0.00295034,0.00388141,0.00182381,0.00283881,0.00210424,0.00449161,0.0120823, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/espana.jpg
Bosnia,0.00569143,0.00070463,0.00330774,0.00046928,0.00211119,0.00061903,0.00341266,0.00110477,0.00291908,0.00097599,0.00100988,0.00128274,0.00260539,0.00252294,0.00118528,0.00037306,0.00096392,0.00159083,0.00135753,0.00433042,0.00114603,0.00113239,0.00126885,0.00138997,0.00189512,0.00111574,0.00125898,0.00138224,0.00071757,0.00198988,0.00106798,0.00126643,0.00550064, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/bosnia.jpg
Russia,0.00569143,0.00070463,0.00330774,0.00046928,0.00211119,0.00061903,0.00341266,0.00110477,0.00291908,0.00097599,0.00100988,0.00128274,0.00260539,0.00252294,0.00118528,0.00037306,0.00096392,0.00159083,0.00135753,0.00433042,0.00114603,0.00113239,0.00126885,0.00138997,0.00189512,0.00111574,0.00125898,0.00138224,0.00071757,0.00198988,0.00106798,0.00126643,0.00550064, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/russia.jpg
Croatia,0.00569143,0.00070463,0.00330774,0.00046928,0.00211119,0.00061903,0.00341266,0.00110477,0.00291908,0.00097599,0.00100988,0.00128274,0.00260539,0.00252294,0.00118528,0.00037306,0.00096392,0.00159083,0.00135753,0.00433042,0.00114603,0.00113239,0.00126885,0.00138997,0.00189512,0.00111574,0.00125898,0.00138224,0.00071757,0.00198988,0.00106798,0.00126643,0.00550064, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/croatia.jpg
Algeria,0.00538379,0.00212692,0.00694478,0.00106918,0.01180392,0.00217021,0.00861753,0.00274509,0.00773162,0.0033627,0.00215238,0.0048019,0.00952224,0.00593439,0.00444155,0.00088602,0.0031256,0.00719408,0.00550625,0.01715781,0.00327221,0.00490958,0.00321384,0.00395516,0.00455241,0.00252971,0.00337636,0.00475441,0.00181185,0.00421067,0.00463673,0.00448317,0.019739, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/algeria.jpg
Nigeria,0.00338409,0.00962335,0.01018592,0.00502661,0.01596389,0.002199,0.00852019,0.00622108,0.00466352,0.00771844,0.01998347,0.03699304,0.00650686,0.01469887,0.00412895,0.00144561,0.00207578,0.0030049,0.01128528,0.00383876,0.00147777,0.02349613,0.02325643,0.00455172,0.02792726,0.00505427,0.00132892,0.04567396,0.00199723,0.0068729,0.00759747,0.0062815,0.00775823, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/nigeria.jpg
Cote d'Ivoire,0.00584525,0.00658955,0.00791786,0.00312046,0.01887067,0.00201545,0.00757541,0.01225353,0.00656136,0.00974714,0.00934908,0.02478472,0.00728715,0.02215251,0.00638229,0.000914,0.00241935,0.00674039,0.00857021,0.00497967,0.00190753,0.02307388,0.01412421,0.01221746,0.02801996,0.00685386,0.00101736,0.02516283,0.00278057,0.00651975,0.01440716,0.00979374,0.00452116, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/cote.jpg
Ghana,0.00584525,0.00658955,0.00791786,0.00312046,0.01887067,0.00201545,0.00757541,0.01225353,0.00656136,0.00974714,0.00934908,0.02478472,0.00728715,0.02215251,0.00638229,0.000914,0.00241935,0.00674039,0.00857021,0.00497967,0.00190753,0.02307388,0.01412421,0.01221746,0.02801996,0.00685386,0.00101736,0.02516283,0.00278057,0.00651975,0.01440716,0.00979374,0.00452116, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/ghana.jpg
Cameroon,0.00584525,0.00658955,0.00791786,0.00312046,0.01887067,0.00201545,0.00757541,0.01225353,0.00656136,0.00974714,0.00934908,0.02478472,0.00728715,0.02215251,0.00638229,0.000914,0.00241935,0.00674039,0.00857021,0.00497967,0.00190753,0.02307388,0.01412421,0.01221746,0.02801996,0.00685386,0.00101736,0.02516283,0.00278057,0.00651975,0.01440716,0.00979374,0.00452116, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/cameroon.jpg
Iran,0.00184587,0.00049585,0.0112441,0.00051766,0.00663515,0.00099693,0.00676805,0.00180536,0.00975218,0.0028129,0.00086197,0.00103177,0.00629526,0.00319207,0.0050407,0.00035441,0.00185627,0.00332895,0.00258819,0.00887516,0.00344562,0.00133967,0.00103616,0.00228481,0.00082911,0.00109518,0.00351625,0.00098426,0.00222445,0.00100513,0.00098339,0.00251598,0.00965151, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/iranlux.jpg
Japan,0.0047685,0.00015658,0.0112552,0.00017417,0.00444597,0.00105451,0.00994595,0.00194345,0.01166756,0.00105271,0.00057635,0.00117677,0.00247314,0.00326885,0.00177792,0.00011658,0.00093529,0.00137872,0.00314643,0.00668158,0.00358134,0.00107865,0.0011547,0.00492755,0.00039653,0.00040619,0.00399313,0.00129666,0.00128564,0.00232266,0.00057629,0.00300144,0.01071461, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/japan.jpg
Korea,0.00969082,0.00262277,0.00829155,0.00309627,0.00942754,0.00273166,0.01199011,0.00476601,0.00734153,0.00389971,0.00925218,0.01168407,0.00984626,0.00949393,0.00603712,0.00138965,0.0045858,0.01001632,0.00866537,0.01763056,0.01746185,0.00846413,0.01120014,0.00981334,0.01750411,0.00325982,0.00522668,0.01228614,0.00501698,0.01212944,0.00606423,0.00764503,0.01562995, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/skorea.jpg
USA,0.0212275,0.00060676,0.00720007,0.00095307,0.00395197,0.00229618,0.02459861,0.00185925,0.00467667,0.00201165,0.00329998,0.00706621,0.01292114,0.0065048,0.00402475,0.00088136,0.00585035,0.00466643,0.00963594,0.05074222,0.00514205,0.00480978,0.00311725,0.005369,0.00174578,0.00180473,0.01386787,0.0053792,0.00164442,0.00556895,0.00209895,0.00801229,0.03554812, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/USA.jpg
Mexico,0,0.0000261,0.00041439,0.00008224,0.0003432,0.00020514,0.00111083,0.00022904,0.00033749,0.00015343,0.00030603,0.00047406,0.00074062,0.00044426,0.0003647,0.00002332,0.00015747,0.00027692,0.00068511,0.00143717,0.00042976,0.00052973,0.00033807,0.00040566,0.00012874,0.00017996,0.00068672,0.00040226,0.00015547,0.00038711,0.00025906,0.0006501,0.00164243, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/USA.jpg
